,course_number,department,name,Days,Hour,Instructor,Room,Status,Unique
150,325,E E,ELECTROMAGNETIC ENGINEERING,TTH,11:00 a.m.-12:30 p.m.,"YILMAZ, A",ECJ 1.214,open; restricted,15520
151,325LX,E E,COOPERATIVE ENGINEERING,,,,,open; restricted,15525
152,325LY,E E,COOPERATIVE ENGINEERING,,,,,open; restricted,15530
153,325LZ,E E,COOPERATIVE ENGINEERING,,,,,open; restricted,15535
154,225MA,E E,COOPERATIVE ENGINEERING,,,,,open; restricted,15540
155,225MB,E E,COOPERATIVE ENGINEERING,,,,,open; restricted,15545
156,125N,E E,COOPERATIVE ENGINEERING,,,,,open; restricted,15550
157,125S,E E,INTERNSHIP IN ELEC & COMP ENGR,,,,,open; restricted,15553
158,333T,E E,ENGINEERING COMMUNICATION,MWF,9:00 a.m.-10:00 a.m.,"FAGELSON, W",RLM 5.114,open; restricted,15555
159,333T,E E,ENGINEERING COMMUNICATION,TTH,9:30 a.m.-11:00 a.m.,"WUSTER, T",JES A215A,waitlisted; restricted,15560
160,333T,E E,ENGINEERING COMMUNICATION,MWF,11:00 a.m.-12:00 p.m.,"FAGELSON, W",PAR 101,waitlisted; restricted,15565
161,333T,E E,ENGINEERING COMMUNICATION,TTH,11:00 a.m.-12:30 p.m.,"WUSTER, T",JES A215A,waitlisted; restricted,15570
162,333T,E E,ENGINEERING COMMUNICATION,MWF,1:00 p.m.-2:00 p.m.,"FAGELSON, W",PAR 303,waitlisted; restricted,15575
163,333T,E E,ENGINEERING COMMUNICATION,TTH,2:00 p.m.-3:30 p.m.,"WUSTER, T",EER 1.512,waitlisted; restricted,15580
164,334K,E E,QUANTUM THRY ENGR ELEC MATLS,TTH,11:00 a.m.-12:30 p.m.,"TUTUC, E",ECJ 1.306,open; restricted,15585
165,438,E E,FUNDMNTLS ELEC CIRCUITS I LAB,MW|F,5:00 p.m.-6:30 p.m.|9:00 a.m.-12:00 p.m.,"AKINWANDE, D",EER 1.518|EER 1.828,open; restricted,15590
